path,license,author,url
client/textures/illarion/items/dealer_button.png,CC0,BlayTheNinth;Dungeon Crawl Stone Soup,https://seleneworlds.com; https://opengameart.org/content/cc0-currency-icons
client/textures/illarion/items/diadem.png,CC0,BlayTheNinth; 7Soul1,https://seleneworlds.com; https://www.deviantart.com/7soul1/art/129892453
client/textures/illarion/items/diamond.png,CC0,Melissa Krautheim,https://opengameart.org/content/fantasy-crystal-set
client/textures/illarion/items/diamond_uncut.png,CC0,BlayTheNinth; Melissa Krautheim,https://seleneworlds.com; https://opengameart.org/content/fantasy-crystal-set
client/textures/illarion/items/dough.png,CC0,BlayTheNinth; Melissa Krautheim,https://seleneworlds.com; https://opengameart.org/content/dragon-eggs
client/textures/illarion/items/dragon_egg.png,CC0,Melissa Krautheim,https://opengameart.org/content/dragon-eggs
client/textures/illarion/items/drum.png,CC0,BlayTheNinth; rubberduck,https://seleneworlds.com; https://opengameart.org/content/isometric-props-and-tents
client/textures/illarion/items/emerald.png,CC0,Melissa Krautheim,https://opengameart.org/content/fantasy-crystal-set
client/textures/illarion/items/emerald_uncut.png,CC0,BlayTheNinth; Melissa Krautheim,https://seleneworlds.com; https://opengameart.org/content/fantasy-crystal-set
client/textures/illarion/items/entrails.png,CC0,BlayTheNinth; Reactorcore,https://seleneworlds.com; https://opengameart.org/content/gore-blood-gibs-meat-chunks
client/textures/illarion/items/feather.png,CC0,Idylwild,https://opengameart.org/content/idylwilds-inventory
client/textures/illarion/items/fireroot.png,CC0,BlayTheNinth; AntumDeluge,https://seleneworlds.com; https://opengameart.org/content/cc0-herb-icons
client/textures/illarion/items/fish.png,CC0,Melissa Krautheim,https://opengameart.org/content/resource-pack-1
client/textures/illarion/items/fishing_rod.png,CC0,Idylwild,https://opengameart.org/content/idylwilds-inventory
client/textures/illarion/items/flail.png,CC0,BlayTheNinth,https://seleneworlds.com
client/textures/illarion/items/flour.png,CC0,Idylwild,https://opengameart.org/content/idylwilds-inventory
client/textures/illarion/items/flower.png,CC0,Aswino,https://opengameart.org/content/tileset-pixel
client/textures/illarion/items/gem_dust.png,CC0,BlayTheNinth; Idylwild,https://seleneworlds.com; https://opengameart.org/content/idylwilds-inventory
client/textures/illarion/items/gem_uncut.png,CC0,BlayTheNinth; Melissa Krautheim,https://seleneworlds.com; https://opengameart.org/content/fantasy-crystal-set
client/textures/illarion/items/glass_ingot.png,CC0,BlayTheNinth; Melissa Krautheim,https://seleneworlds.com; https://opengameart.org/content/resource-pack-1
client/textures/illarion/items/gloves_chain.png,CC0,Flare,https://opengameart.org/content/cc0-hand-wear-icons
client/textures/illarion/items/gloves_fingerless.png,CC0,Flare,https://opengameart.org/content/cc0-hand-wear-icons
client/textures/illarion/items/gloves_leather.png,CC0,Flare,https://opengameart.org/content/cc0-hand-wear-icons
client/textures/illarion/items/gloves_plate.png,CC0,Flare,https://opengameart.org/content/cc0-hand-wear-icons
client/textures/illarion/items/gold_coins.png,CC0,Dungeon Crawl Stone Soup,https://opengameart.org/content/cc0-currency-icons
client/textures/illarion/items/gold_ingot.png,CC0,Melissa Krautheim,https://opengameart.org/content/resource-pack-1
client/textures/illarion/items/gold_ore.png,CC0,BlayTheNinth; Melissa Krautheim,https://seleneworlds.com; https://opengameart.org/content/resource-pack-1
client/textures/illarion/items/grains.png,CC0,ScratchIO,https://opengameart.org/content/2d-cereals
client/textures/illarion/items/green_blood.png,CC0,AntumDeluge,https://opengameart.org/content/blood-splatters
client/textures/illarion/items/green_potion.png,CC0,Melissa Krautheim,https://opengameart.org/content/fantasy-magic-set
client/textures/illarion/items/handcuffs.png,CC0,cesca-specs,https://opengameart.org/content/handcuffs-0
client/textures/illarion/items/handkerchief.png,CC0,Kutejnikov,https://opengameart.org/content/papers
client/textures/illarion/items/harp.png,CC0,OpenClipArt,https://opengameart.org/content/cc0-music-icons
client/textures/illarion/items/hat.png,CC0,Melissa Krautheim,https://opengameart.org/content/fantasy-magic-set
client/textures/illarion/items/helmet.png,CC0,Flare,https://opengameart.org/content/cc0-headgear-icons
client/textures/illarion/items/herb.png,CC0,Idylwild,https://opengameart.org/content/idylwilds-inventory
client/textures/illarion/items/horn.png,CC0,BlayTheNinth; bluecarrot16,https://seleneworlds.com; https://opengameart.org/node/98209
client/textures/illarion/items/invisible_item.png,CC0,BlayTheNinth,https://seleneworlds.com
client/textures/illarion/items/iron_ingot.png,CC0,Melissa Krautheim,https://opengameart.org/content/resource-pack-1
client/textures/illarion/items/iron_ore.png,CC0,BlayTheNinth; Melissa Krautheim,https://seleneworlds.com; https://opengameart.org/content/resource-pack-1
client/textures/illarion/items/iron_plate.png,CC0,BlayTheNinth; Melissa Krautheim,https://seleneworlds.com; https://opengameart.org/content/resource-pack-1
client/textures/illarion/items/key.png,CC0,7Soul1,https://www.deviantart.com/7soul1/art/129892453
client/textures/illarion/items/lamp_oil.png,CC0,BlayTheNinth; Melissa Krautheim,https://opengameart.org/content/fantasy-magic-set
client/textures/illarion/items/lantern.png,CC0,Dungeon Crawl Stone Soup,https://opengameart.org/content/cc0-light-icons
client/textures/illarion/items/lantern_lit.png,CC0,Dungeon Crawl Stone Soup,https://opengameart.org/content/cc0-light-icons
client/textures/illarion/items/leather.png,CC0,Idylwild,https://opengameart.org/content/idylwilds-inventory
client/textures/illarion/items/leather_armor.png,CC0,Flare,https://opengameart.org/content/cc0-torso-wear-icons
client/textures/illarion/items/leggings_chain.png,CC0,Flare,https://opengameart.org/content/cc0-leggings-icons
client/textures/illarion/items/leggings_cloth.png,CC0,BlayTheNinth; Flare,https://seleneworlds.com; https://opengameart.org/content/cc0-leggings-icons
client/textures/illarion/items/leggings_leather.png,CC0,Flare,https://opengameart.org/content/cc0-leggings-icons
client/textures/illarion/items/leggings_plate.png,CC0,Flare,https://opengameart.org/content/cc0-leggings-icons
client/textures/illarion/items/lockpicks.png,CC0,BlayTheNinth; bluecarrot16,https://seleneworlds.com; https://opengameart.org/node/98209
client/textures/illarion/items/logs.png,CC0,Melissa Krautheim,https://opengameart.org/content/resource-pack-1
client/textures/illarion/items/longbow.png,CC0,Dungeon Crawl Stone Soup,https://opengameart.org/content/cc0-ranged-icons
client/textures/illarion/items/lute.png,CC0,OpenClipArt,https://opengameart.org/content/cc0-music-icons
client/textures/illarion/items/magic_bow.png,CC0,Dungeon Crawl Stone Soup,https://opengameart.org/content/cc0-ranged-icons
client/textures/illarion/items/mandarine.png,CC0,Tanya Riarey,https://opengameart.org/content/2d-game-icons-fruits-vegetables
client/textures/illarion/items/medal.png,CC0,BlayTheNinth; bluecarrot16,https://seleneworlds.com; https://opengameart.org/node/98209
client/textures/illarion/items/merinium_ingot.png,CC0,BlayTheNinth; Melissa Krautheim,https://seleneworlds.com; https://opengameart.org/content/resource-pack-1
client/textures/illarion/items/merinium_ore.png,CC0,BlayTheNinth; Melissa Krautheim,https://seleneworlds.com; https://opengameart.org/content/resource-pack-1
client/textures/illarion/items/mirror.png,CC0,BlayTheNinth; Idylwild,https://seleneworlds.com; https://opengameart.org/content/idylwilds-inventory
client/textures/illarion/items/mold.png,CC0,bluecarrot16,https://opengameart.org/node/98209
client/textures/illarion/items/mortar_and_pestle.png,CC0,Idylwild,https://opengameart.org/content/idylwilds-arcanum
client/textures/illarion/items/muffin.png,CC0,BlayTheNinth; bluecarrot16,https://seleneworlds.com; https://opengameart.org/node/98209
client/textures/illarion/items/mug.png,CC0,Idylwild,https://opengameart.org/content/idylwilds-inventory
client/textures/illarion/items/mushroom.png,CC0,Idylwild,https://opengameart.org/content/idylwilds-inventory
client/textures/illarion/items/nails.png,CC0,Glitch,https://opengameart.org/content/100-glitch-icons
client/textures/illarion/items/necklace.png,CC0,7Soul1,https://www.deviantart.com/7soul1/art/129892453
client/textures/illarion/items/needle.png,CC0,BlayTheNinth,https://seleneworlds.com
client/textures/illarion/items/nuts.png,CC0,Idylwild,https://opengameart.org/content/idylwilds-inventory
client/textures/illarion/items/oil_lamp.png,CC0,BlayTheNinth,https://seleneworlds.com
client/textures/illarion/items/oil_lamp_lit.png,CC0,BlayTheNinth,https://seleneworlds.com
client/textures/illarion/items/onion.png,CC0,Tanya Riarey,https://opengameart.org/content/2d-game-icons-fruits-vegetables
client/textures/illarion/items/panflute.png,CC0,BlayTheNinth; bluecarrot16,https://seleneworlds.com; https://opengameart.org/node/98209
client/textures/illarion/items/peel.png,CC0,BlayTheNinth;Idylwild,https://seleneworlds.com; https://opengameart.org/content/idylwilds-inventory
client/textures/illarion/items/pie.png,CC0,bluecarrot16,https://opengameart.org/node/98209
client/textures/illarion/items/pincers.png,CC0,Glitch,https://opengameart.org/content/100-glitch-icons
client/textures/illarion/items/pipe.png,CC0,BlayTheNinth; bluecarrot16,https://seleneworlds.com; https://opengameart.org/node/98209
client/textures/illarion/items/planks.png,CC0,Melissa Krautheim,https://opengameart.org/content/resource-pack-1
client/textures/illarion/items/plate.png,CC0,BlayTheNinth; Idylwild,https://seleneworlds.com; https://opengameart.org/content/idylwilds-inventory
client/textures/illarion/items/plate_dish.png,CC0,BlayTheNinth; Idylwild,https://seleneworlds.com; https://opengameart.org/content/idylwilds-inventory
client/textures/illarion/items/poison_arrow.png,CC0,Dungeon Crawl Stone Soup,https://opengameart.org/content/cc0-ranged-icons
client/textures/illarion/items/pure_air.png,CC0,BlayTheNinth; Melissa Krautheim,https://seleneworlds.com; https://opengameart.org/content/dragon-eggs
client/textures/illarion/items/pure_earth.png,CC0,Melissa Krautheim,https://opengameart.org/content/dragon-eggs
client/textures/illarion/items/pure_fire.png,CC0,Melissa Krautheim,https://opengameart.org/content/dragon-eggs
client/textures/illarion/items/pure_water.png,CC0,Melissa Krautheim,https://opengameart.org/content/dragon-eggs
client/textures/illarion/items/raw_hide.png,CC0,Idylwild,https://opengameart.org/content/idylwilds-inventory
client/textures/illarion/items/red_berries.png,CC0,Melissa Krautheim,https://opengameart.org/content/resource-pack-1
client/textures/illarion/items/red_potion.png,CC0,Melissa Krautheim,https://opengameart.org/content/fantasy-magic-set
client/textures/illarion/items/ring.png,CC0,Kutejnikov,https://opengameart.org/content/17-rings
client/textures/illarion/items/robe.png,CC0,Flare,https://opengameart.org/content/cc0-torso-wear-icons
client/textures/illarion/items/root.png,CC0,AntumDeluge,https://opengameart.org/content/cc0-herb-icons
client/textures/illarion/items/rope.png,CC0,Idylwild,https://opengameart.org/content/idylwilds-inventory
client/textures/illarion/items/ruby.png,CC0,Melissa Krautheim,https://opengameart.org/content/fantasy-crystal-set
client/textures/illarion/items/ruby_uncut.png,CC0,BlayTheNinth; Melissa Krautheim,https://seleneworlds.com; https://opengameart.org/content/fantasy-crystal-set
client/textures/illarion/items/sand.png,CC0,BlayTheNinth; Melissa Krautheim,https://seleneworlds.com; https://opengameart.org/content/resource-pack-1
client/textures/illarion/items/sandals.png,CC0,Flare,https://opengameart.org/content/cc0-footgear-icons
client/textures/illarion/items/sausage.png,CC0,jetrel,https://opengameart.org/node/4531
client/textures/illarion/items/scissors.png,CC0,BlayTheNinth; OpenClipArt,https://seleneworlds.com; https://opengameart.org/content/cc0-tool-icons
client/textures/illarion/items/scroll.png,CC0,Melissa Krautheim,https://opengameart.org/content/fantasy-magic-set
client/textures/illarion/items/seeds.png,CC0,BlayTheNinth; Idylwild,https://seleneworlds.com; https://opengameart.org/content/idylwilds-inventory
client/textures/illarion/items/shield.png,CC0,LordNeo,https://opengameart.org/node/10892
client/textures/illarion/items/shield_round.png,CC0,LordNeo,https://opengameart.org/node/10893
client/textures/illarion/items/shirt.png,CC0,Flare,https://opengameart.org/content/cc0-torso-wear-icons
client/textures/illarion/items/shortbow.png,CC0,Dungeon Crawl Stone Soup,https://opengameart.org/content/cc0-ranged-icons
client/textures/illarion/items/shovel.png,CC0,Idylwild,https://opengameart.org/content/idylwilds-inventory
client/textures/illarion/items/shovelhead.png,CC0,BlayTheNinth; Idylwild,https://seleneworlds.com; https://opengameart.org/content/idylwilds-inventory
client/textures/illarion/items/silver_coins.png,CC0,BlayTheNinth;Dungeon Crawl Stone Soup,https://seleneworlds.com; https://opengameart.org/content/cc0-currency-icons
client/textures/illarion/items/silver_ingot.png,CC0,BlayTheNinth; Melissa Krautheim,https://seleneworlds.com; https://opengameart.org/content/resource-pack-1
client/textures/illarion/items/skirt.png,CC0,Flare,https://opengameart.org/content/cc0-leggings-icons
client/textures/illarion/items/sling.png,CC0,Dungeon Crawl Stone Soup,https://opengameart.org/content/cc0-ranged-icons
client/textures/illarion/items/smoked_fish.png,CC0,BlayTheNinth; Melissa Krautheim,https://seleneworlds.com; https://opengameart.org/content/resource-pack-1
client/textures/illarion/items/soup.png,CC0,BlayTheNinth; Dungeon Crawl Stone Soup,https://seleneworlds.com; https://opengameart.org/content/cc0-tableware-icons
client/textures/illarion/items/stones.png,CC0,BlayTheNinth; Melissa Krautheim,https://seleneworlds.com; https://opengameart.org/content/resource-pack-1
client/textures/illarion/items/sugarcane.png,CC0,Idylwild,https://opengameart.org/content/idylwilds-inventory
client/textures/illarion/items/sword.png,CC0,Melissa Krautheim,https://opengameart.org/content/fantasy-sword-set
client/textures/illarion/items/thread.png,CC0,Idylwild,https://opengameart.org/content/idylwilds-inventory
client/textures/illarion/items/throwing_star.png,CC0,Loel,https://opengameart.org/content/shuriken-pixel-art
client/textures/illarion/items/tomato.png,CC0,Tanya Riarey,https://opengameart.org/content/2d-game-icons-fruits-vegetables
client/textures/illarion/items/topaz.png,CC0,Melissa Krautheim,https://opengameart.org/content/fantasy-crystal-set
client/textures/illarion/items/topaz_uncut.png,CC0,BlayTheNinth; Melissa Krautheim,https://seleneworlds.com; https://opengameart.org/content/fantasy-crystal-set
client/textures/illarion/items/torch.png,CC0,Idylwild,https://opengameart.org/content/idylwilds-inventory
client/textures/illarion/items/torch_lit.png,CC0,Idylwild,https://opengameart.org/content/idylwilds-inventory
client/textures/illarion/items/treasure_map.png,CC0,BlayTheNinth; Kutejnikov,https://seleneworlds.com; https://opengameart.org/content/papers
